"metric","FULL","NO_HOTSPOT","delta_abs","delta_rel_pct"
"TP",418607,420117,1510,0.36072019818111
"FP",22403,34084,11681,52.1403383475427
"FN",273419,271909,-1510,-0.55226593616391
"TN",37733917,37722236,-11681,-0.030956234943751
"Precision",0.949200698396862,0.92495833342507,-0.0242423649717921,-2.5539767314474
"Recall",0.604900682922318,0.607082681864554,0.00218199894223603,0.36072019818107
"F1",0.738912091054477,0.73304328025775,-0.00586881079672696,-0.794250204831779
"IoU",0.585932261988245,0.578585889190343,-0.00734637279790196,-1.2537921658339
"Omission_pct",39.5099317077682,39.2917318135446,-0.218199894223602,-0.552265936163846
"Commission_pct",5.0799301603138,7.50416665749301,2.42423649717921,47.7218469678619
"BalancedAccuracy",0.802153662653479,0.803089972790467,0.000936310136988028,0.116724535532353
"Specificity",0.999406642384639,0.999097263716379,-0.000309378668260085,-0.0309562349437553
"polygons_at_thr0.5",753,930,177,23.5059760956175
