"Feature","Gain_FULL","Gain_NOHS"
"rbr_med",0.159439445782647,0.704060904899399
"hs_in_poly",0.45567850488043,0
"hs_min_dist_m",0.352690977894431,0
"rbr_p90",0.027039464142841,0.211847735097653
"rbr_iqr",0.00123256078310504,0.0404633644051615
"rbr_aw_med",0.000613379727658373,0.0217206299041702
"cor_forest_frac",0.000688939240781589,0.00796218494004216
"rbr_aw_p90",0.00126194824583606,0.00573026353571306
"cor_agri_frac",0.000373519532986031,0.00300156001942848
"elev_sd",5.8138525206042e-05,0.00222197869372322
"slope_sd",0.000274392961291393,0.00202403121269813
"elev_iqr",5.68816737913472e-05,0.000370446648457745
"rbr_p10",0.000367474043281335,1.78227568002558e-05
"rbr_aw_p10",2.90398662275591e-05,0.000267004343492605
"slope_med",0,0.000142191351681761
"hs_frp_max",6.99971481583255e-05,0
"slope_iqr",5.51751203775653e-05,4.71436330412144e-05
"elev_p90",0,4.71612961253011e-05
"slope_p90",4.68830752236746e-05,0
"persist_ratio",0,4.29556218100229e-05
"slope_mean",1.46126176965191e-05,3.2621640601991e-05
"doy_p90",8.66473803108961e-06,0
